topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,isbn,entropy
0.0057810275,0.0030964315,0.006069622,0.005778164,0.004805623,0.9744691,8936434128,0.22981499002378944
0.0007805794,0.6442148,0.00081954687,0.1515526,0.2021096,0.00052282005,9788901285498,1.3096085029270341
0.0006596361,0.00035331392,0.0006925655,0.70675623,0.0005483388,0.2909899,9788925536828,0.8963548852438978
0.0014779539,0.9932746,0.0015517345,0.0014772211,0.0012285858,0.0009899107,9788925560960,0.07369544021745546
0.0012081865,0.00064712827,0.67499405,0.32133707,0.001004335,0.0008092247,9788925560977,0.9459372754260549
0.0008594734,0.996089,0.0009023789,0.00085904717,0.0007144586,0.000575662,9788925564685,0.045922712476848614
0.00070664607,0.49541292,0.14071809,0.00070629566,0.15555744,0.20689866,9788925564692,1.8027703929001633
0.70867777,0.00046036084,0.0009023991,0.2886693,0.0007144743,0.0005756747,9788925579283,0.8974050534649015
0.00024380909,0.00013058889,0.00025598027,0.00024368818,0.99896264,0.00016329956,9788927806936,0.01414047598694661
0.16001727,0.18700942,0.001091612,0.33289814,0.00086428376,0.3181193,9788930006859,1.9488213584973717
0.00035183434,0.00018844932,0.13260297,0.8663286,0.00029247103,0.0002356532,9788932013046,0.578496681169516
0.0010579993,0.000566685,0.23013736,0.7666498,0.00087948807,0.00070863153,9788932018041,0.814575284178283
0.25901943,0.36519712,0.0006632261,0.0006313781,0.0005251091,0.3739637,9788932018140,1.5856186228033717
0.45221004,0.00013222288,0.00025918317,0.33165577,0.21557747,0.00016534282,9788932019161,1.5299243018911965
0.011231704,0.0060159215,0.011792397,0.0112261325,0.952211,0.007522824,9788932019239,0.38571328556684864
0.0015153083,0.52442133,0.0015909536,0.4701978,0.0012596378,0.0010149302,9788932020006,1.0514363868875423
0.0041639158,0.0022302743,0.9831937,0.0041618505,0.003461358,0.0027889262,9788932020815,0.1614905355971822
0.69095534,0.00010990325,0.0002154323,0.30841127,0.00017056848,0.00013743245,9788932021850,0.8998750657349338
0.00023994102,0.3460927,0.18011992,0.13869707,0.22883205,0.10601831,9788932023151,2.2035084896585833
0.00039370553,0.00021087636,0.0004133597,0.0003935103,0.9983248,0.00026369788,9788932023908,0.021675367687647402
0.33981162,0.14140995,0.00034308172,0.26533386,0.2273776,0.025723865,9788932027173,2.061757011029922
0.34053293,0.00018844924,0.17712945,0.48162103,0.00029247088,0.0002356531,9788932027425,1.4877958908908222
0.0012593346,0.56544304,0.0013222017,0.19301447,0.0010468531,0.23791406,9788932028477,1.451143662219719
0.0032540767,0.0017429471,0.0034165217,0.9867019,0.0027050325,0.0021795307,9788932029092,0.13225760405613574
0.0008719153,0.00046701482,0.99648076,0.00087148277,0.0007248012,0.0005839954,9788932030050,0.041788008582653295
0.0007908938,0.6374505,0.0008303758,0.00079050165,0.35960802,0.00052972854,9788932034829,0.9752583385461125
0.0017365072,0.14294213,0.31327796,0.0017356462,0.0014435146,0.5388642,9788932034836,1.45187689853195
0.25439495,0.102471784,0.64004964,0.0012325773,0.0010251187,0.0008259708,9788932035338,1.2817668366970942
0.0004911227,0.00026305486,0.0005156399,0.93467945,0.00040825785,0.0636425,9788932035635,0.36275158268012425
0.564949,0.00017034699,0.00033391407,0.43406942,0.0002643764,0.0002130165,9788932036014,0.999758768508486
0.0008473523,0.00045385832,0.0008896524,0.5355482,0.46169338,0.0005675434,9788932037714,1.0260898273867756
0.0014078441,0.0007540687,0.0014781246,0.0014071466,0.99400985,0.0009429522,9788932038094,0.06647794366631364
0.00069830747,0.00037402697,0.0007331673,0.55555516,0.44217166,0.0004677154,9788932038230,1.0160757262036375
0.061048683,0.00027916933,0.47142613,0.46646369,0.00043326733,0.00034909727,9788932039060,1.283044527845805
0.0004434711,0.12545122,0.00046560957,0.00044325116,0.0003686463,0.8728278,9788932039114,0.566213053895137
0.28719255,0.00020412476,0.42340356,0.28862768,0.0003167991,0.00025525512,9788932039237,1.5685560662480542
0.9980259,0.0002587704,0.0005072414,0.00048288403,0.00040160844,0.0003235887,9788932039251,0.025082432254052163
0.0010045107,0.99542904,0.0010546562,0.0010040123,0.0008350241,0.00067280553,9788932039855,0.05264167061797067
0.1755053,0.0008552778,0.8196465,0.0015960095,0.0013273805,0.0010695128,9788932040295,0.722555300634115
0.00072380656,0.00038768488,0.13958958,0.20883569,0.64997846,0.00048479444,9788932040486,1.2896812726179665
0.08842852,0.0007917397,0.54587823,0.36268264,0.0012287701,0.0009900592,9788932041339,1.3467871394374118
0.001344514,0.9938818,0.0014116332,0.0013438473,0.0011176605,0.0009005347,9788932041438,0.06787965267806204
0.0015972572,0.2687885,0.0016769938,0.0015964649,0.725271,0.001069818,9788932041513,0.9012638508263993
0.000605956,0.32612142,0.33871025,0.3336528,0.00050371594,0.00040585996,9788932042008,1.601138796291659
0.0005765705,0.00030882237,0.00060535345,0.0005762846,0.99754673,0.000386178,9788932042039,0.030391361956712663
0.0024507917,0.6566705,0.0025731362,0.33462682,0.002037281,0.0016415021,9788932042268,1.0037276638833752
0.00042763603,0.3028586,0.00044898395,0.1834745,0.5125038,0.00028642395,9788932042336,1.478144867210612
0.7376308,0.00031810947,0.00062355795,0.26053607,0.00049370195,0.0003977914,9788932042343,0.84964855130096
0.001184018,0.00063418306,0.6346731,0.0011834309,0.0009842443,0.36134106,9788932042350,0.9865302735591142
0.00078088866,0.00041825912,0.00081987114,0.0007805014,0.9966774,0.0005230271,9788932042480,0.03970494199644378
0.12641954,0.00028925188,0.3004224,0.31929746,0.25320962,0.00036170537,9788932042589,1.9335989117863561
0.001184307,0.00063433795,0.12855813,0.0011837198,0.0009844846,0.86745507,9788932042633,0.5980114259886726
0.1783274,0.0004538611,0.81909984,0.0008469371,0.0007043868,0.0005675469,9788932042671,0.7065606149063306
0.00081255235,0.00043521886,0.00085311575,0.00081214926,0.00067545427,0.9964115,9788932042756,0.04251728068571516
0.4894363,0.00063423853,0.16592902,0.34222302,0.0009843303,0.0007931063,9788932042824,1.4886510455731148
0.9979074,0.00027429932,0.00053768116,0.0005118624,0.00042570915,0.0003430074,9788932042916,0.02641157245904449
0.001788308,0.16633244,0.49847704,0.0017874213,0.33041698,0.0011977811,9788932042992,1.503265757586677
0.0004537438,0.07078702,0.47368145,0.0004535188,0.23990943,0.21471481,9788932043142,1.7617822557813339
