author_id,author_name
1,마광수
1,마광수
2,이석배
3,박봉현
4,"으뜸 열롤"
4,"으뜸 열롤"
5,손정모
5,손정모
6,안일상
7,최인훈
7,최인훈
8,정도상
9,박경범
10,최진수
10,최진수
10,최진수
11,홍성순
11,홍성순
11,홍성순
12,문순태
12,문순태
12,문순태
12,문순태
12,문순태
12,문순태
13,서영은
13,서영은
13,서영은
13,서영은
14,김랑
14,김랑
14,김랑
15,조정래
15,조정래
15,조정래
15,조정래
15,조정래
15,조정래
15,조정래
15,조정래
15,조정래
16,공지영
16,공지영
16,공지영
16,공지영
16,공지영
16,공지영
17,정광섭
18,최인호
18,최인호
18,최인호
18,최인호
18,최인호
18,최인호
18,최인호
18,최인호
20,김혁
21,이원호
21,이원호
21,이원호
21,이원호
21,이원호
21,이원호
21,이원호
21,이원호
21,이원호
21,이원호
21,이원호
21,이원호
21,이원호
21,이원호
21,이원호
21,이원호
21,이원호
21,이원호
21,이원호
21,이원호
23,백시종
23,백시종
23,백시종
23,백시종
23,백시종
24,이효석
24,이효석
25,노순자
25,노순자
26,박우진
27,임운산
27,임운산
28,정형남
28,정형남
28,정형남
28,정형남
29,김탁환
29,김탁환
29,김탁환
29,김탁환
29,김탁환
29,김탁환
29,김탁환
29,김탁환
29,김탁환
29,김탁환
29,김탁환
30,이정우
32,조성기
32,조성기
32,조성기
33,김주영
33,김주영
33,김주영
33,김주영
33,김주영
34,장순영
35,김원일
35,김원일
35,김원일
35,김원일
36,김중미
36,김중미
37,정이현
37,정이현
38,심윤경
38,심윤경
39,황석영
40,김별아
41,오트슨
42,신경숙
42,신경숙
42,신경숙
43,이정명
43,이정명
43,이정명
43,이정명
43,이정명
43,이정명
43,이정명
43,이정명
44,김연수
44,김연수
44,김연수
45,이청준
45,이청준
46,김진명
46,김진명
46,김진명
46,김진명
46,김진명
46,김진명
46,김진명
46,김진명
46,김진명
46,김진명
46,김진명
46,김진명
46,김진명
46,김진명
46,김진명
46,김진명
46,김진명
46,김진명
46,김진명
46,김진명
46,김진명
46,김진명
46,김진명
47,배수아
47,배수아
48,권비영
48,권비영
48,권비영
49,김영하
49,김영하
49,김영하
49,김영하
49,김영하
50,정유정
50,정유정
50,정유정
51,권순규
51,권순규
52,백금남
52,백금남
52,백금남
52,백금남
52,백금남
52,백금남
52,백금남
53,김홍신
54,최문희
54,최문희
54,최문희
55,이수광
55,이수광
55,이수광
55,이수광
55,이수광
55,이수광
55,이수광
56,박완서
56,박완서
56,박완서
56,박완서
56,박완서
56,박완서
56,박완서
57,박은우
57,박은우
58,정지원
59,이진수
59,이진수
59,이진수
59,이진수
60,정세랑
60,정세랑
60,정세랑
61,김애란
61,김애란
61,김애란
62,최성현
63,하성란
63,하성란
63,하성란
63,하성란
64,김훈
64,김훈
64,김훈
65,도진기
65,도진기
66,장용민
66,장용민
67,유광수
67,유광수
68,조완선
68,조완선
69,이우혁
69,이우혁
70,박하익
71,이번영
71,이번영
72,현기영
72,현기영
73,주수자
73,주수자
74,윤진상
74,윤진상
74,윤진상
74,윤진상
75,강준희
76,이도우
76,이도우
77,"동서문학상 수상자모임 동서문학회"
78,한국문학작가연합
79,"문학과의식 편집부"
79,"문학과의식 편집부"
80,정호승
81,김영희
82,이광수
83,이태준
84,김원우
85,이상락
86,권정현
87,김미진
87,김미진
88,김성종
88,김성종
88,김성종
88,김성종
88,김성종
88,김성종
88,김성종
89,구효서
89,구효서
90,원재길
90,원재길
91,이순원
91,이순원
91,이순원
91,이순원
91,이순원
91,이순원
92,서미애
92,서미애
92,서미애
92,서미애
93,배명희
94,김보영
94,김보영
94,김보영
94,김보영
94,김보영
94,김보영
95,오현종
95,오현종
95,오현종
97,김규나
98,서준환
99,이제하
99,이제하
100,공선옥
100,공선옥
100,공선옥
100,공선옥
100,공선옥
101,이화경
101,이화경
103,김종광
103,김종광
104,김민서
105,김설아
105,김설아
106,김숨
106,김숨
106,김숨
106,김숨
106,김숨
106,김숨
107,함정임
108,문지혁
108,문지혁
108,문지혁
109,고은규
109,고은규
110,심재천
111,김범
111,김범
112,전경린
112,전경린
112,전경린
113,조영주
114,정해연
114,정해연
114,정해연
114,정해연
115,김다은
116,이수진
117,서진연
118,박주현
119,오수완
120,김혜진
121,고정욱
121,고정욱
121,고정욱
121,고정욱
122,야설록
123,김하림
124,심훈
124,심훈
125,최서해
126,채만식
126,채만식
127,김동인
128,김승옥
128,김승옥
128,김승옥
128,김승옥
129,공애린
130,안정효
131,이문열
131,이문열
131,이문열
131,이문열
131,이문열
131,이문열
132,차현숙
133,정비석
134,현길언
134,현길언
134,현길언
134,현길언
134,현길언
135,이상우
135,이상우
136,정건섭
137,정현웅
137,정현웅
137,정현웅
138,이경영
138,이경영
139,서연
139,서연
141,강선우
142,유호
142,유호
142,유호
143,손선영
143,손선영
143,손선영
143,손선영
143,손선영
144,류서재
145,노원
145,노원
146,황규영
147,강영숙
147,강영숙
148,잔아(김용만)
149,정명섭
149,정명섭
149,정명섭
149,정명섭
149,정명섭
149,정명섭
149,정명섭
149,정명섭
149,정명섭
150,은미희
151,이재웅
152,김재희
152,김재희
152,김재희
152,김재희
152,김재희
154,김종일
154,김종일
154,김종일
154,김종일
155,한승원
155,한승원
155,한승원
155,한승원
155,한승원
155,한승원
155,한승원
155,한승원
155,한승원
155,한승원
155,한승원
155,한승원
155,한승원
156,이종호
156,이종호
157,장은진
158,장정일
159,김은숙
159,김은숙
160,정길연
160,정길연
160,정길연
161,곽재식
161,곽재식
161,곽재식
162,김춘규
162,김춘규
162,김춘규
165,하지은
165,하지은
166,윤현승
166,윤현승
167,사류라
168,권태현
169,윤지겸
170,김근우
171,김이환
171,김이환
171,김이환
172,이헌
172,이헌
173,한상운
173,한상운
173,한상운
173,한상운
174,한동진
174,한동진
175,린
176,이혜경
176,이혜경
177,김범선
178,박혜범
179,고천석
179,고천석
180,한만수
180,한만수
181,정우연
182,박범신
182,박범신
182,박범신
182,박범신
182,박범신
182,박범신
182,박범신
182,박범신
183,최인석
183,최인석
183,최인석
183,최인석
183,최인석
184,윤성희
184,윤성희
185,김동익
187,김인숙
188,안보윤
188,안보윤
188,안보윤
188,안보윤
188,안보윤
189,배명훈
189,배명훈
189,배명훈
189,배명훈
189,배명훈
190,김이은
191,은희경
192,조해진
192,조해진
192,조해진
192,조해진
192,조해진
193,한강
193,한강
193,한강
193,한강
193,한강
193,한강
194,정용준
194,정용준
194,정용준
194,정용준
195,민명기
196,김민환
196,김민환
196,김민환
197,박충훈
197,박충훈
197,박충훈
197,박충훈
198,김장동
199,윤정옥
199,윤정옥
200,이외수
201,한수산
201,한수산
201,한수산
201,한수산
203,엄현주
204,김상렬
205,고승철
207,김용상
208,윤용호
209,권오단
209,권오단
209,권오단
210,전동하
211,김주욱
212,오세영
212,오세영
213,이정은
213,이정은
213,이정은
214,김광휘
214,김광휘
215,민병삼
215,민병삼
215,민병삼
216,송은일
216,송은일
216,송은일
216,송은일
217,윤혜령
218,박이선
220,정장화
221,김풍길
221,김풍길
222,하기주
223,김영주
223,김영주
224,이병행
225,김중태
225,김중태
225,김중태
226,김용운
227,김희원
227,김희원
228,우선덕
229,우경미
230,정아은
230,정아은
230,정아은
231,양귀자
232,이명행
233,백민석
233,백민석
233,백민석
233,백민석
234,서하진
234,서하진
235,최시한
236,김연경
236,김연경
237,윤후명
237,윤후명
237,윤후명
238,류가미
239,정영문
239,정영문
239,정영문
239,정영문
240,조경란
240,조경란
240,조경란
241,박성원
242,서정인
242,서정인
243,최수철
243,최수철
244,박청호
244,박청호
244,박청호
245,하일지
245,하일지
246,엄광용
246,엄광용
246,엄광용
247,이승우
247,이승우
247,이승우
247,이승우
247,이승우
247,이승우
248,복거일
248,복거일
249,김운하
249,김운하
250,윤대녕
250,윤대녕
250,윤대녕
251,신장현
252,정찬
252,정찬
252,정찬
252,정찬
252,정찬
252,정찬
253,김경욱
253,김경욱
253,김경욱
254,성석제
254,성석제
254,성석제
254,성석제
254,성석제
254,성석제
255,김현주
256,이윤기
256,이윤기
256,이윤기
257,박형서
258,이응준
258,이응준
259,김용성
260,천운영
261,이기호
262,전상국
262,전상국
263,편혜영
263,편혜영
263,편혜영
264,김중혁
264,김중혁
264,김중혁
265,한유주
266,윤흥길
266,윤흥길
266,윤흥길
266,윤흥길
267,김미월
268,윤이형
268,윤이형
268,윤이형
269,박상륭
270,김도언
271,박혜상
272,김이설
273,하창수
273,하창수
273,하창수
274,윤고은
274,윤고은
274,윤고은
274,윤고은
274,윤고은
274,윤고은
274,윤고은
275,이신조
275,이신조
276,김도연
276,김도연
276,김도연
277,김혜정
277,김혜정
277,김혜정
278,이장욱
279,백가흠
279,백가흠
280,윤보인
281,임수현
282,구병모
282,구병모
282,구병모
282,구병모
283,김태용
283,김태용
284,김유진
285,손홍규
285,손홍규
285,손홍규
286,양진채
286,양진채
286,양진채
287,권여선
287,권여선
287,권여선
288,김솔
289,박솔뫼
289,박솔뫼
289,박솔뫼
290,김종은
290,김종은
291,이혜경
292,심상대
292,심상대
293,정한아
293,정한아
293,정한아
294,김엄지
295,정지돈
295,정지돈
296,박상우
297,황선미
298,조수경
299,구경미
299,구경미
300,명지현
301,김혜정
302,박민정
303,전아리
303,전아리
303,전아리
303,전아리
303,전아리
304,백수린
305,양선형
305,양선형
306,김사과
306,김사과
306,김사과
306,김사과
307,손보미
307,손보미
308,박상영
308,박상영
309,김수온
310,송지현
311,우다영
312,이홍
313,이상
314,강화길
314,강화길
316,기준영
317,서장원
318,김초엽
318,김초엽
320,김멜라
321,서이제
321,서이제
322,이유리
322,이유리
322,이유리
322,이유리
323,임솔아
325,황모과
325,황모과
325,황모과
326,은모든
326,은모든
326,은모든
327,김지연
327,김지연
329,듀나
329,듀나
329,듀나
329,듀나
330,설재인
331,이서수
332,단요
333,이종산
333,이종산
333,이종산
334,성혜령
335,고원정
335,고원정
336,이대환
337,전광용
338,안이희옥
339,황보윤
340,장태일
341,김신용
342,조갑상
342,조갑상
343,권현숙
344,문경민
345,오한기
345,오한기
346,고은
346,고은
347,유현종
348,우석훈
349,정찬주
349,정찬주
349,정찬주
350,싱숑
350,싱숑
350,싱숑
350,싱숑
350,싱숑
350,싱숑
351,이선영
355,손영목
355,손영목
356,윤정모
356,윤정모
356,윤정모
358,한국현대소설학회
358,한국현대소설학회
358,한국현대소설학회
358,한국현대소설학회
359,김동민
359,김동민
360,현진건
361,김재찬
362,이현
363,남유하
363,남유하
364,천선란
364,천선란
364,천선란
367,송기원
367,송기원
367,송기원
368,송기숙
368,송기숙
368,송기숙
368,송기숙
368,송기숙
369,김성동
369,김성동
369,김성동
370,김영현
371,한창훈
371,한창훈
372,박민규
373,이남희
374,서유미
374,서유미
374,서유미
375,김려령
375,김려령
375,김려령
376,설흔
376,설흔
377,김학찬
378,이문구
379,전수찬
380,황정은
380,황정은
381,금태현
382,이인휘
382,이인휘
382,이인휘
382,이인휘
383,손원평
383,손원평
384,안재성
384,안재성
384,안재성
385,김금희
385,김금희
385,김금희
385,김금희
386,최민우
387,김설원
387,김설원
388,우애령
389,김윤영
390,정지아
390,정지아
391,이상섭
391,이상섭
392,김재영
393,하재영
394,정미경
395,최진영
395,최진영
395,최진영
395,최진영
395,최진영
395,최진영
