isbn,author,author_url,book_url,author_id
9788937428234.0,이유리,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9d%b4%ec%9c%a0%eb%a6%ac@7976845&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=351832870,322.0
9791167902757.0,이서수,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9d%b4%ec%84%9c%ec%88%98@7981605&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=350999828,331.0
9791139640533.0,근서,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b7%bc%ec%84%9c@8197648&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=351975355,1788.0
9791141601102.0,예소연,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%98%88%ec%86%8c%ec%97%b0@9274827&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=343669601,1711.0
9791141601270.0,조경란,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%a1%b0%ea%b2%bd%eb%9e%80@40950&BranchType=1/,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=348755082,240.0
9791160274509.0,공지영,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b3%b5%ec%a7%80%ec%98%81@2287&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=345362568,16.0
9791141607241.0,조해진,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%a1%b0%ed%95%b4%ec%a7%84@838997&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=345924386,192.0
9791193078259.0,청예,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%b2%ad%ec%98%88@8826223&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=342597735,1897.0
9791161571188.0,김호연,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ed%98%b8%ec%97%b0@2729971&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=290457417,773.0
9791198334305.0,김신회,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ec%8b%a0%ed%9a%8c@809025&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=348287540,2406.0
9791190885621.0,최진영,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%b5%9c%ec%a7%84%ec%98%81@1692294&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=350862747,395.0
9788932013046.0,한강,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ed%95%9c%ea%b0%95@49154&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=326987,193.0
9791197325892.0,김애란,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ec%95%a0%eb%9e%80@210854&BranchType=1/,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=341306474,61.0
9788954681179.0,최은영,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%b5%9c%ec%9d%80%ec%98%81@3210780&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=275419192,540.0
9788954695053.0,최은영,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%b5%9c%ec%9d%80%ec%98%81@3210780&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=321294005,540.0
9791141601249.0,심윤경,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%8b%ac%ec%9c%a4%ea%b2%bd@138375&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=348019254,38.0
9791193024867.0,배예람,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%eb%b0%b0%ec%98%88%eb%9e%8c@8635725&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=351751876,2092.0
9791161571379.0,김호연,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ed%98%b8%ec%97%b0@2729971&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=303706448,773.0
8936434128.0,한강,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ed%95%9c%ea%b0%95@49154&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=339218521,193.0
9791193027356.0,김탁환,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ed%83%81%ed%99%98@7691&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=346111443,29.0
9791196222628.0,김동식,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%eb%8f%99%ec%8b%9d@6004631&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=127608044,1827.0
