author_id,author_name,author_url
43,손보미,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%86%90%eb%b3%b4%eb%af%b8@1644738&BranchType=1
44,김초엽,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ec%b4%88%ec%97%bd@6165280&BranchType=1
45,박초은,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%eb%b0%95%ec%b4%88%ec%9d%80@10038477&BranchType=1
46,천명관,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%b2%9c%eb%aa%85%ea%b4%80@200183&BranchType=1
47,정지아,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%a0%95%ec%a7%80%ec%95%84@75492&BranchType=1
48,단요,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%eb%8b%a8%ec%9a%94@8914423&BranchType=1
49,김보현,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%eb%b3%b4%ed%98%84@5984787&BranchType=1
50,이승우,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9d%b4%ec%8a%b9%ec%9a%b0@33880&BranchType=1
51,오윤희,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%98%a4%ec%9c%a4%ed%9d%ac@3205336&BranchType=1
52,김기창,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ea%b8%b0%ec%b0%bd@3638984&BranchType=1
53,김지윤,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ec%a7%80%ec%9c%a4@9474268&BranchType=1
54,배수아,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%eb%b0%b0%ec%88%98%ec%95%84@18193&BranchType=1
55,하승민,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ed%95%98%ec%8a%b9%eb%af%bc@7904494&BranchType=1
56,박혜원,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%eb%b0%95%ed%98%9c%ec%9b%90@2698951&BranchType=1
57,김아인,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ec%95%84%ec%9d%b8@9975424&BranchType=1
58,이선영,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9d%b4%ec%84%a0%ec%98%81@1611253&BranchType=1
59,박완서,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%eb%b0%95%ec%99%84%ec%84%9c@16795&BranchType=1
60,김이정,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ec%9d%b4%ec%a0%95@6738&BranchType=1
61,문목하,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%eb%ac%b8%eb%aa%a9%ed%95%98@6478510&BranchType=1
62,정보라,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%a0%95%eb%b3%b4%eb%9d%bc@39320&BranchType=1
63,김영하,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ec%98%81%ed%95%98@6210&BranchType=1
64,김화진,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ed%99%94%ec%a7%84@8249640&BranchType=1
65,고수리,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b3%a0%ec%88%98%eb%a6%ac@5036047&BranchType=1
66,이기호,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9d%b4%ea%b8%b0%ed%98%b8@89953&BranchType=1
67,이희주,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9d%b4%ed%9d%ac%ec%a3%bc@5259391&BranchType=1
68,김연수,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ec%97%b0%ec%88%98@72526&BranchType=1
69,안세화,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%95%88%ec%84%b8%ed%99%94@5346150&BranchType=1
70,구병모,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b5%ac%eb%b3%91%eb%aa%a8@962500&BranchType=1
71,문정,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%eb%ac%b8%ec%a0%95@10046711&BranchType=1
72,이혁진,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9d%b4%ed%98%81%ec%a7%84@5223881&BranchType=1
73,서장원,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%84%9c%ec%9e%a5%ec%9b%90@8249666&BranchType=1
74,조우리,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%a1%b0%ec%9a%b0%eb%a6%ac@7514773&BranchType=1
75,윤정은,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9c%a4%ec%a0%95%ec%9d%80@800900&BranchType=1
76,이규락,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9d%b4%ea%b7%9c%eb%9d%bd@7285344&BranchType=1
77,임솔아,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9e%84%ec%86%94%ec%95%84@2844344&BranchType=1
78,장강명,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9e%a5%ea%b0%95%eb%aa%85@62820&BranchType=1
79,이도우,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9d%b4%eb%8f%84%ec%9a%b0@168393&BranchType=1
80,황모과,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ed%99%a9%eb%aa%a8%ea%b3%bc@7904463&BranchType=1
81,박연준,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%eb%b0%95%ec%97%b0%ec%a4%80@282559&BranchType=1
82,전민희,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%a0%84%eb%af%bc%ed%9d%ac@68287&BranchType=1
83,황보름,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ed%99%a9%eb%b3%b4%eb%a6%84@5847984&BranchType=1
84,은희경,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9d%80%ed%9d%ac%ea%b2%bd@32007&BranchType=1
85,송희구,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%86%a1%ed%9d%ac%ea%b5%ac@8600520&BranchType=1
86,정세랑,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%a0%95%ec%84%b8%eb%9e%91@1720627&BranchType=1
87,권여선,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b6%8c%ec%97%ac%ec%84%a0@60799&BranchType=1
88,백수린,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%eb%b0%b1%ec%88%98%eb%a6%b0@2858998&BranchType=1
89,김청귤,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ec%b2%ad%ea%b7%a4@7547526&BranchType=1
90,장용민,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9e%a5%ec%9a%a9%eb%af%bc@37673&BranchType=1
91,싱숑,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%8b%b1%ec%88%91@8217684&BranchType=1
92,김유진,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ec%9c%a0%ec%a7%84@2247913&BranchType=1
93,김서해,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ec%84%9c%ed%95%b4@9156791&BranchType=1
94,유은지,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9c%a0%ec%9d%80%ec%a7%80@2335298&BranchType=1
95,김혜진,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ed%98%9c%ec%a7%84@3262707&BranchType=1
96,위수정,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9c%84%ec%88%98%ec%a0%95@6468111&BranchType=1
97,임진평,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9e%84%ec%a7%84%ed%8f%89@975373&BranchType=1
