isbn,title,publishDate,price,pageCount,size,weight,label,author_name_tf,publisher_name_tf
9791168127319,2학기 한정 도서부,565,13000,120,18000,210,1,3,47
9791168127357,첫사랑이 언니에게 남긴 것,537,13000,116,18000,187,1,4,47
9791168127425,소녀는 따로 자란다,502,13000,68,18000,286,1,1,47
9791168127500,오로라,432,13000,88,18000,123,1,17,47
9791168340930,해저도시 타코야키,763,15000,272,22560,278,1,2,13
9791168340947,저주토끼,746,15800,356,26800,463,1,12,13
9791168341197,말 없는 자들의 목소리,622,15000,272,22560,272,1,6,13
9791168341326,오늘 밤 황새가 당신을 찾아갑니다,586,15000,304,22560,304,1,2,13
9791168341432,화성과 나,531,15800,304,26800,395,1,8,13
9791168341630,지구 생물체는 항복하라,455,16800,268,26800,348,1,12,13
9791168341760,갈아 만든 천국,418,16800,288,26800,374,1,4,13
9791168341821,영원한 저녁의 연인들,385,16800,264,26800,343,1,2,13
9791168341968,천지신명은 여자의 말을 듣지 않지,320,16800,304,22560,311,1,4,13
9791168342095,좋아하길 잘했어,292,16800,328,22560,335,1,2,13
9791168342316,앨리스와의 티타임,195,16800,344,22560,354,1,1,13
9791168342408,피와 기름,157,18000,428,26800,508,1,7,13
9791168342569,너의 유토피아,103,17500,372,26800,484,1,12,13
9791169083812,분실물이 돌아왔습니다,432,16000,312,24064,333,1,4,1
9791169811248,똑같은 얼굴,798,11000,176,32625,334,1,1,13
9791169811279,알래스카 한의원,760,15000,304,26650,440,1,1,13
9791169811545,세계는 이렇게 바뀐다,601,15000,224,21620,340,1,7,13
9791169811903,먼지가 되어,364,14000,192,22184,229,1,1,13
9791169812108,점거당한 집,241,15000,200,21620,315,1,2,13
9791170321019,2024 신춘문예 당선소설집,458,20000,542,34200,774,1,1,7
9791170402480,모든 사람에 대한 이론,472,17000,376,24064,376,1,2,8
9791170403012,2024 제1회 림 문학상 수상작품집,139,15000,176,27950,230,1,1,8
9791170520634,언제나 밤인 세계,1095,16800,428,24064,475,1,2,13
9791170522386,달빛수사,535,17000,448,24064,448,1,3,13
9791170610106,푸른 살,665,15000,304,26600,358,1,1,20
9791170610120,소심한 사람들만 남았다,668,14000,260,26000,338,1,3,20
9791170610311,이효석문학상 수상작품집 2023,605,15000,336,31175,439,1,4,20
9791170610892,완전 부부 범죄,466,15500,320,26600,378,1,4,20
9791170611028,누굴 죽였을까,425,15500,328,23680,350,1,10,20
9791170611110,2024 제11회 교보문고 스토리대상 단편 수상작품집,406,12800,208,26650,294,1,1,20
9791170611127,꿈으로 갈게,399,16800,548,24064,562,1,3,20
9791170611462,지옥의 설계자,315,15500,264,26600,343,1,1,20
9791170611509,mymy,305,16800,264,22184,281,1,1,20
9791170611523,개를 데리고 다니는 남자,304,6500,92,18920,94,1,6,20
9791170611585,나의 사내연애 이야기,277,6500,88,18920,92,1,3,20
9791170611714,러브 누아르,249,6500,84,18920,87,1,2,20
9791170611783,이효석문학상 수상작품집 2024,248,15000,408,31175,530,1,4,20
9791170611806,죽지 않고 어른이 되는 법,235,16800,256,26600,301,1,5,20
9791170611844,횡단보도에서 수호천사를 만나 사랑에 빠진 이야기,214,6500,96,18920,95,1,4,20
9791170611943,빛처럼 비지처럼,185,6500,88,18920,89,1,2,20
9791170611967,돼지의 피,193,15500,316,26600,368,1,1,20
9791170612049,지나가는 것들,151,6500,88,18920,89,1,11,20
9791170612131,어느 순간을 가리키자면,129,6500,80,18920,83,1,3,20
9791170612179,뱅상 식탁,105,15800,268,26600,348,1,4,20
9791170800002,광개토태왕 담덕 6,714,16500,344,24892,482,1,7,18
9791170800187,광개토태왕 담덕 7,640,16800,344,24892,490,1,7,18
9791170800408,광개토태왕 담덕 8,404,16800,344,24123,482,1,7,18
9791170800477,신의 죽음,394,17500,364,27200,473,1,22,18
9791170800583,광개토태왕 담덕 9,246,17500,368,24123,515,1,7,18
9791170960447,습기,591,16800,328,26999,392,1,1,6
9791170960706,메스를 든 사냥꾼,532,16800,344,26999,405,1,1,6
9791170962168,은하계 환승터미널 구멍가게,293,16800,304,26999,360,1,1,6
9791171210701,초소년,304,16800,272,25216,354,1,1,2
9791171250172,선택의 날,608,15800,284,26390,328,1,10,11
9791171250349,인류보호회사 1~5 세트 - 전5권,612,75000,2264,24700,2943,1,1,11
9791171251353,정해연의 날 3부작 세트 - 전3권,599,48600,988,26390,1284,1,10,11
9791171711987,용의자들,347,15500,292,24064,292,1,10,47
9791171713387,수신인도 발신인도 아닌 씨씨,131,13000,116,18000,165,1,1,47
9791171717002,단단하고 녹슬지 않는,432,13000,200,18000,280,1,3,47
9791171717019,영희와 제임스,292,13000,84,18000,266,1,5,47
9791171717026,루카스,292,13000,96,18000,290,1,1,47
9791171717033,인현왕후의 회빙환을 위하여,292,13000,140,18000,218,1,3,47
9791171717057,두더지 인간,292,13000,124,18000,200,1,3,47
9791171717064,라비우와 링과,257,13000,128,18000,206,1,1,47
9791171717071,0,257,13000,100,18000,200,1,3,47
9791171717088,바리,257,13000,88,18000,166,1,5,47
9791171717095,불멸의 인절미,257,13000,112,18000,293,1,1,47
9791171717132,창문,229,13000,96,18000,134,1,12,47
9791171717156,그때는,196,13000,120,18000,200,1,4,47
9791171717163,헤픈 것이다,196,13000,96,18000,290,1,14,47
9791171717187,"부오니시모, 나폴리",196,13000,108,18000,300,1,3,47
9791171717217,어떤 새의 이름을 아는 슬픈 너,166,13000,96,18000,277,1,1,47
9791171717224,몸몸,166,13000,96,18000,54,1,10,47
9791171717255,예감의 우주,138,13000,104,18000,300,1,1,47
9791171717262,개구리가 되고 싶어,138,13000,88,18000,349,1,6,47
9791171717279,계화의 여름,110,13000,152,18000,338,1,3,47
9791171717286,돈 안 쓰면 죽는 병,110,13000,96,18000,285,1,2,47
9791171717293,새해 연습,110,13000,120,18000,306,1,11,47
9791172130374,원도,394,15000,248,24064,347,1,17,39
9791172130404,가벼운 점심,373,16800,316,24064,316,1,4,39
9791172130572,마르타의 일,371,16800,292,24064,377,1,10,39
9791172130633,입속 지느러미,333,15000,164,20680,164,1,13,39
9791172130657,"식물, 상점",312,15000,272,20680,272,1,2,39
9791172130664,그 변기의 역학,302,15000,288,20680,288,1,4,39
9791172130879,멜라닌,277,16800,312,31920,406,1,1,39
9791172131067,나의 아름다운 정원,245,16800,380,31500,494,1,5,39
9791172131524,킬러 문항 킬러 킬러,164,16800,232,24064,232,1,6,39
9791172131692,체공녀 강주룡,149,16800,276,31500,359,1,10,39
9791173180187,루나시움 선물공장,147,18800,312,26000,367,1,1,1
9791185585819,나는 슈뢰딩거의 고양이로소이다,1970,13600,196,24064,263,1,1,1
9791186561911,내 마음은 바다에 있어,157,15000,264,21620,310,1,1,1
9791186686348,인생 우화,2464,16000,356,23749,529,1,2,1
9791188545414,피구왕 서영,2294,12000,228,22200,268,1,1,1
9791188547265,7인의 집행관,637,18500,560,33896,590,1,14,4
9791188547357,라비헴 폴리스 2049,336,16800,260,26910,380,1,1,4
9791188547371,2023년생,252,16800,228,26910,296,1,5,4
9791188547401,달의 뒷면을 걷다,185,16800,216,26910,281,1,1,4
9791188594245,모 이야기,812,22000,168,20625,235,1,1,1
9791188810727,난주,2352,17800,344,31500,478,1,1,53
9791188862290,지구에서 한아뿐,2098,13000,228,23312,295,1,14,2
9791188862375,덧니가 보고 싶어,2001,13000,228,23312,295,1,14,2
9791189099008,양심 고백,2580,13000,296,28350,370,1,16,14
9791189099015,"정말 미안하지만, 나는 아무렇지도 않았다",2580,13000,336,28350,413,1,16,14
9791189099060,성공한 인생,2366,12000,176,24064,275,1,16,14
9791189099145,"하나의 인간, 인류의 하나",2237,13000,280,28350,355,1,16,14
9791189099152,살인자의 정석,2237,13000,280,28350,415,1,16,14
9791189228361,땀 흘리는 소설,2250,15000,272,30450,429,1,5,15
9791189356279,멀리 있다 우루는 늦을 것이다,2006,13000,168,22800,263,1,9,1
9791189770471,마라의 요람,404,17000,360,24064,360,1,1,6
9791189770525,귀우,251,18000,512,24064,512,1,1,6
9791189836498,"죽음과 세금은 피할 수 없다, 드래곤 역시",593,17500,428,24700,454,1,1,1
9791189938642,파우스터,2201,16800,544,26000,635,1,8,47
9791189982140,"진이, 지니",2163,14000,388,31500,529,1,8,53
9791190090018,우리가 빛의 속도로 갈 수 없다면,2135,17000,344,25740,492,1,8,15
9791190090193,깃털,1736,9500,140,21160,144,1,1,15
9791190090261,천 개의 파랑,1713,17000,376,25740,435,1,11,15
9791190090377,우리는 이 별을 떠나기로 했어,1518,13000,240,25740,286,1,11,15
9791190090643,2022 제5회 한국과학문학상 수상작품집,1070,6000,400,26250,452,1,2,15
9791190090698,막 너머에 신이 있다면,971,16000,456,26250,593,1,2,15
9791190090766,테스터,882,14000,272,32625,361,1,6,15
9791190090896,빛과 영원의 시계방,803,15000,316,25010,449,1,3,15
9791190090964,고양이와 사막의 자매들,692,15000,224,25010,345,1,3,15
9791190174671,"땡스 갓, 잇츠 프라이데이",1925,12000,162,18200,147,1,4,39
9791190174756,"칵테일, 러브, 좀비 (리커버)",1841,13000,162,18200,162,1,13,39
9791190174909,위치스 딜리버리,1706,10000,180,18200,165,1,1,39
9791190357081,신이 쉼표를 넣은 곳에 마침표를 찍지 말라,1970,18000,476,24252,640,1,2,1
9791190492430,GV 빌런 고태경,1834,13500,264,29400,355,1,3,53
9791190492522,떠도는 땅,1827,16800,280,29400,379,1,9,53
9791190533300,그렇게 우리의 이름이 되는 것이라고,741,15000,192,24000,250,1,2,2
9791190594035,일주일 만에 사랑할 순 없다,1865,13000,392,28350,510,1,16,14
9791190749138,문어,1510,13000,256,28350,384,1,16,14
9791190749145,밸런스 게임,1510,13000,264,28350,395,1,16,14
9791190749176,김동식 소설집 1~10 박스 세트 - 전10권,1491,130000,3276,28350,4259,1,16,14
9791190749473,청부살인 협동조합,903,14000,352,24064,355,1,16,14
9791190749695,여우의 계절,454,20000,580,28350,754,1,1,14
