isbn,title,publishDate,author_id,author_name,publisher_id,publisher_name,price,pageCount,size,weight,rating,shortReviewCount,fullReviewCount,records,label
9788970636603 ,눈물의 왕,2010-06-01,453,이평재,77,열림원,11000,284,33896,398,10,3,1,,0
9788970637730 ,천국의 소년 1,2013-05-31,43,이정명,77,열림원,12000,296,30015,410,9.1,3,27,,0
9788970731001 ,철모와 남자,2004-04-30,1062,심혁창,327,한글,9000,297,33896,416,0,,,,0
9788970733128 ,아름다운 변신,2010-03-30,1062,심혁창,327,한글,9000,252,24064,252,0,,,,0
9788970733357 ,남의 밭에 물주기,2011-02-15,1061,신외숙,327,한글,10000,278,33896,389,0,,,,0
9788970735573 ,멜로 스릴러 드라마,2019-03-22,1061,신외숙,327,한글,13000,318,33896,445,0,,,,0
9788970735586 ,여울속에 잠긴 산하 : 기축옥사 - 상,2019-02-28,666,김용욱,327,한글,13000,322,33896,451,0,,,,0
9788970758312 ,소설 이승휴,2016-11-25,1065,김익하,328,문학세계사,15000,440,26325,489,0,,,,0
9788970872605 ,정역 -상,1999-12-20,618,이재운,329,미래사,7500,352,31080,493,6,,1,,0
9788970903002 ,내 마음의 집,2003-03-28,1067,김경해,330,동아일보사,8000,295,33896,413,8,,1,,0
9788971155752 ,소설 남이,2011-07-20,837,권무일,331,평민사,14000,440,33896,616,9.3,1,2,,0
9788971155950 ,말(馬),2012-12-20,837,권무일,331,평민사,12000,320,33896,448,0,,,,0
9788971156117 ,달팽이의 꿈,2015-08-31,944,임상현,331,평민사,13000,320,33896,448,8,2,1,,0
9788971612828 ,나의 살던 고향은 3,1994-12-01,1069,우계숙,332,장원,5500,340,31080,442,0,,,,0
9788971614044 ,별난여자,1989-03-01,908,임선영,332,장원,7000,366,31080,476,0,,,,0
9788971718551 ,빛의 소리,2003-08-01,1073,차복수,264,신아출판사(SINA),10000,378,33896,529,0,,,,0
9788971719510 ,여자 이야기,2004-08-20,1072,형문창,264,신아출판사(SINA),9000,314,17024,220,0,,,,0
