PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,isbn
-0.2991799718482444,0.19272001750052772,-0.1282648494012857,-0.42405228585766575,0.301680235642522,0.20382634579804645,-0.13232414945978827,0.19152291510724553,0.48152906967474696,0.022564416614210492,-0.07223404255025291,-0.20318276489731688,-0.1516301163119796,-0.1298145876283358,0.12709044435026245,0.11176455176542488,-0.21278716256053617,0.02408270165411061,-0.051654042039081596,0.2074723073288357,0.0624158495614947,0.11651992126788666,0.016454693051453632,-0.061883247915759595,-0.013880821887737965,-0.04262506224721773,-0.007234168281225695,0.001522806271305157,-0.06273398618586398,-0.016082746097200666,0.06860658761406258,-0.03324074611340881,-0.08554359870719147,-0.0695447831872737,0.022021361714753933,0.02409988339575973,-0.06931535915532597,-0.06198013851367182,8936434128
0.10971759539412135,0.10503376354023876,0.032719417421977426,0.3403114367826959,-0.1099789626950846,-0.26455503459299934,0.2565119953038589,-0.15752020828874727,0.1867101189460339,0.04052501336963711,-0.040940091729773954,-0.17809090597895574,-0.2003989426790955,-0.05209875455873971,-0.02521523222817025,0.20355736811641384,0.01310059142457298,-0.08102930879120882,-0.25975768692859125,-0.050850424214248416,0.021790998466688215,-0.08509060409064662,0.10690858576050745,-0.05903745354095524,-0.0546709404241241,-0.03917220410165773,-0.02190085336773094,-0.14947567196632397,-0.18842548484793276,-0.11161648539951112,-0.2204165523933739,0.017862947840080218,0.09417242884558638,-0.10986328751343422,-0.05726775772600082,0.07993403725428444,-0.0711516101292711,0.005756863219160052,9788901285498
0.13720308518820745,-0.07569158488516238,-0.04514657049723262,0.024670294943212392,-0.2623440647344947,-0.11891809418175414,-0.12572562873013332,0.1767947117042227,0.20973329045527153,-0.0504341677937861,0.28756031422835343,0.11618795263993212,0.38790630956847383,0.03261281802516141,-0.2691165516957837,0.13798642385447624,-0.20027587989513226,0.15996111750824898,-0.15515679950790118,0.007763926814398362,-0.08010092496286897,0.0500338851951732,0.21755057417316867,0.009146239809504415,-0.18254568503323826,-0.12099041247287232,0.026488587164417418,0.08695161253951884,-0.047531620041315545,-0.1390843643355199,-0.014802433116536343,-0.09892318408708023,-0.04197132611057579,0.11693120314382499,-0.09899934044518632,-0.1490624102805255,0.006935783410487381,0.026143757945432333,9788925536828
0.16836443452390593,-0.04095994454864811,-0.15597460754673548,0.26900278323912896,-0.15410182389634852,0.1336462349844643,-0.25457894291761285,0.22818605500850353,0.2427250283244033,0.1355457367670509,-0.015445906087379191,0.09715774934246338,0.2187110110156805,0.11731608080849615,0.27710795229175456,-0.19732744071227537,0.23464140551575977,0.07601124758963143,-0.263211444850362,0.06669492634624007,-0.22305104949267487,0.0850561313362255,0.1042453562836129,-0.14015773130661385,-0.1446415216960379,-0.05475549872733466,0.00016797793172899228,-0.1568369164205366,-0.10098902565220881,-0.0932212430456084,0.11386722822229936,0.13288068016143392,0.05038403320300352,0.03352622980118589,-0.004088082226179096,0.010088987838610147,0.10316709874863758,0.03211400128463554,9788925560960
0.005868265243753057,0.007997191137352817,-0.1423989816552685,0.060288146746830015,-0.3363385082441519,-0.3036897386942614,0.10557180942778867,0.10162809564855987,0.08083838975614809,-0.0058149383565765725,-0.01742260347219507,-0.16747282535898306,-0.06491910811596338,-0.10102707964688762,-0.012529187715823181,-0.07225642123798422,-0.006262670152063429,0.3523031124569832,-0.10678221342044346,-0.03403197694811566,-0.027757764320219404,-0.017091424516850407,-0.021653507489641476,0.22806305449327208,0.2653770119024749,0.05308118033637864,-0.13886454055201175,-0.024307542126973284,-0.0818708489057144,0.23103521222935197,-0.048455068003178614,-0.08958920051554556,-0.1466505417186113,-0.12969116956972443,-0.022383723843210888,-0.13351479090074078,-0.18079931991782136,-0.30651954407374915,9788925560977
-0.04471106730059878,-0.31741158912614065,0.07048832666223998,0.14318667189299167,-0.1905990853644557,-0.21784612890910043,-0.008623023475995542,-0.08785175300979745,0.19173152618461609,0.048728755533115946,-0.1063273140598218,-0.1410618636175364,-0.20243938387240976,0.2877021888671842,-0.004650099527335283,0.005048795342697527,-0.22716774888324848,0.2558986246240478,0.1625842069546931,0.04741161055758848,-0.0217616311858711,-0.033503084829025545,0.06131109076045411,0.17424362116527753,0.05709159101846244,-0.030588281738006352,-0.09113544260903,-0.09862486233045795,-0.015221859289181672,0.21604738837363666,-0.019154179235132015,-0.017418051817493937,0.061002255358478565,-0.09134112289194612,0.024341334806257164,-0.2021320256524395,-0.015063078549921928,-0.12014639199280944,9788925564685
0.1689916551230446,-0.0270188567392039,-0.08363950751508169,0.17213523078408138,-0.18397322954978973,0.005630748996518365,0.06359277449195684,0.18407548434379806,0.27036669842504396,0.1446006999478633,0.09193816888311582,0.012291628771569241,-0.05638841887635929,-0.06449611000070518,-0.005538386204089797,0.013793932920803794,0.312107748598138,0.23727443093810577,0.0013698323762408385,-0.17006494565619848,-0.1624843287059054,-0.15093655616690915,0.08447902219349085,0.01873457157579244,0.17048289677319095,-0.015927216919163004,-0.07315643168671643,0.09460724533880491,-0.11059132800188053,0.011881523101202822,0.23219665191128105,0.07841662053147555,-0.2926614689737089,-0.08910779593581714,0.021882476837983354,-0.07863860228412303,-0.28933059604801503,0.05656935098760868,9788925564692
-0.03899115307744351,0.05420601589903351,0.030841112024348943,-0.17081341175236198,-0.02673557620538242,-0.21278296266648725,-0.10248176189957042,-0.12229828341378728,-0.07582249222564877,0.1271422889985325,-0.1306684363353164,0.011907580882472894,0.3707802364092701,0.02546606887403643,-0.0733267533996825,-0.05345172544783606,-0.28154126578797195,0.08693408371098157,0.018712692178676507,-0.16670939146537797,-0.12202922897084206,-0.040973297303510306,0.06063646609900229,-0.29554564384367576,-0.02895626743586792,-0.004784798729577169,0.17321148115548496,-0.08804205552885229,0.3761862573112439,0.10340904086808235,0.10137807663329299,-0.16145183041376193,-0.28641090456128104,-0.18703228636742472,-0.027293031848882723,0.2619194097460052,-0.08254219449182099,0.06225064990087739,9788925579283
-0.053260452310691854,-0.047543030662797935,0.017147356425600543,0.2697313178926068,-0.1942355279611037,-0.19342497175479012,0.1373714834253162,0.21277169676072005,-0.030442999810312246,0.03583178762821791,-0.21615453938133827,0.06284198844071873,-0.12070872194774401,-0.1979022048528372,0.27526338576375087,0.03745077308654399,-0.05914889374443798,-0.08864084192537247,0.07067821273398335,-0.0584158622994905,0.0020756630222835614,-0.013913418949416254,0.048678470004544595,0.17841701748971442,0.06433345127401452,0.01124012134319399,0.23282256174121763,-0.07214506445646081,0.032800198198141395,0.1584881719283516,0.25142646575569005,-0.07856635201280289,-0.11478869989502954,0.05641907280508291,-0.17794878455685836,-0.060993004729586964,0.06603742904838729,-0.09711766231630568,9788927806936
-0.24619696612859823,-0.11961917456004688,-0.1561170505820222,0.277377473041921,0.08901865467686174,0.15384974433203544,0.011051423787131386,0.04073061774267257,-0.09912016356238285,-0.25554801769158925,-0.21970336675418817,0.011076474697942602,-0.08316990386637016,-0.2857507709844373,-0.14524430661740734,-0.06144877543342967,-0.15559068665655826,-0.13905275281689683,0.06267492381835414,-0.22914528389301195,-0.070031589399312,-0.11681895172709934,0.1916263239325964,-0.0151892565115586,-0.06021816089998132,0.013001452124162486,-0.02295532592809508,-0.08627180081544021,-0.10631039689444924,-0.16820719279627083,0.007780013901575712,0.12371597809944335,-0.16798686730585388,-0.06925147717956806,0.13981081791705247,-0.14158653348821396,-0.2678990374492155,0.11292077445113347,9788930006859
