topic_0,topic_1,topic_2,topic_3,topic_4,isbn
0.001437322,0.0017021192,0.0013777628,0.0017933008,0.9936895,6000585358
0.00046573704,0.31928247,0.000446438,0.3659614,0.31384394,9772671779004
0.32651713,0.00049318734,0.19633426,0.29999086,0.17666455,9772951448002
0.9691103,0.00784764,0.0063521904,0.008268033,0.008421815,9788901064345
0.003375209,0.0039970223,0.6492981,0.3390402,0.0042894655,9788901079103
0.0009785813,0.42857105,0.33115447,0.0012209447,0.23807494,9788901085913
0.0006694191,0.1962278,0.17117752,0.6310745,0.0008507474,9788901115139
0.17717436,0.13039495,0.0002489264,0.12352388,0.5686579,9788901117409
0.23157263,0.0005164407,0.32209402,0.0005441061,0.44527277,9788901163031
0.008720738,0.96095634,0.008359371,0.010880587,0.01108296,9788925111681
0.00021178319,0.271179,0.16360562,0.1860539,0.37894973,9788925122847
0.00051847077,0.0006139885,0.13204204,0.4471965,0.419629,9788925501215
0.5897697,0.0040014787,0.0032389553,0.0042158356,0.39877397,9788925507866
0.21843104,0.00061368657,0.22435915,0.5559375,0.00065858715,9788925521152
0.00094484125,0.19930378,0.00090568926,0.48209965,0.31674603,9788925521329
0.0006100035,0.0007223842,0.23849133,0.5351926,0.22498363,9788925550091
0.16539295,0.11502039,0.16720149,0.17761876,0.37476638,9788925559988
0.0003198616,0.18799148,0.3002378,0.29141784,0.22003302,9788925565323
0.17284109,0.00081268017,0.4623576,0.36311647,0.0008721401,9788925565873
0.00050860265,0.21470991,0.00048752737,0.2748751,0.5094188,9788925567716
0.00041029416,0.1765277,0.00039329255,0.17092602,0.6517427,9788925567723
0.0004999349,0.56411207,0.078115,0.35663763,0.0006353543,9788925578248
0.0006693313,0.19103064,0.00064159575,0.4492901,0.35836837,9788926770108
0.23580207,0.14352138,0.31999302,0.00079613406,0.29988745,9788926770115
0.0004656341,0.2892066,0.24981697,0.21355747,0.24695331,9788927802518
0.21547487,0.27404824,0.00023128443,0.2226592,0.28758642,9788927802716
0.0008842638,0.3362149,0.104249,0.557528,0.001123788,9788930006491
0.008720384,0.96095794,0.008359032,0.010880145,0.01108251,9788930006774
0.31846848,0.0005812379,0.18816803,0.26005715,0.23272508,9788931009743
0.00042945144,0.08514387,0.042108588,0.30765808,0.56466,9788931022360
0.04945074,0.00040213848,0.25226408,0.27833417,0.4195488,9788931022377
0.00088425295,0.0010471586,0.39501777,0.21075936,0.39229143,9788932012667
0.00028655888,0.5548814,0.13431598,0.12595375,0.18456236,9788932018041
0.00048205696,0.0005708661,0.88757616,0.1107583,0.0006126337,9788932019161
0.0005493726,0.12363625,0.12207577,0.3892619,0.36447674,9788932019826
0.22671534,0.42650065,0.0005724387,0.3454526,0.0007589465,9788932019840
0.0010945344,0.0012961801,0.0010491795,0.0013656156,0.99519444,9788932020006
