topic_0,topic_1,topic_2,topic_3,topic_4,isbn
0.001437322,0.0017021192,0.0013777628,0.0017933008,0.9936895,6000585358
0.9691103,0.00784764,0.0063521904,0.008268033,0.008421815,9788901064345
0.003375352,0.98488826,0.0032354852,0.0042113187,0.004289647,9788901079103
0.0009785813,0.42859408,0.33118027,0.0012209447,0.23802613,9788901085913
0.00066941907,0.19619465,0.17121255,0.63107264,0.00085074734,9788901115139
0.1771748,0.13039708,0.00024892643,0.12352254,0.5686566,9788901117409
0.23157857,0.0005164407,0.32209244,0.0005441061,0.44526845,9788901163031
0.008720738,0.96095634,0.008359372,0.010880587,0.01108296,9788925111681
0.00021178316,0.27117458,0.16361097,0.18605326,0.37894937,9788925122847
0.00051847077,0.0006139885,0.13203892,0.44720146,0.41962716,9788925501215
0.58980995,0.0040014796,0.003238956,0.0042158365,0.3987338,9788925507866
0.21841796,0.0006136866,0.22436316,0.55594665,0.0006585872,9788925521152
0.00094484125,0.19934024,0.00090568926,0.48207083,0.3167384,9788925521329
0.00061000354,0.00072238425,0.23852944,0.5351835,0.22495471,9788925550091
0.16539294,0.115024686,0.1672004,0.17761673,0.37476528,9788925559988
0.00031986166,0.18805619,0.30024046,0.2914202,0.21996333,9788925565323
0.000499935,0.56412905,0.07809136,0.35664427,0.00063535443,9788925578248
0.00066933123,0.19104062,0.0006415957,0.44928852,0.35835993,9788926770108
0.23578969,0.1435462,0.31998748,0.00079613406,0.2998805,9788926770115
0.0004656342,0.28925142,0.24988101,0.21347958,0.24692237,9788927802518
0.21547556,0.2740448,0.00023128446,0.22265422,0.28759414,9788927802716
0.0008842637,0.33620125,0.10425113,0.5575396,0.0011237878,9788930006491
0.008720384,0.96095794,0.008359032,0.010880145,0.01108251,9788930006774
0.3184665,0.0005812379,0.18818635,0.2600318,0.2327341,9788931009743
0.0004294514,0.08515291,0.042109154,0.3076483,0.56466013,9788931022360
0.04944234,0.00040213848,0.25226516,0.27833962,0.41955072,9788931022377
0.00088425295,0.0010471586,0.39502916,0.21071747,0.39232197,9788932012667
0.2267125,0.42650625,0.00057243876,0.3454499,0.0007589466,9788932019840
0.28141817,0.0005609619,0.114919275,0.15801397,0.4450876,9788932020761
0.00041032114,0.099698156,0.24384913,0.37505913,0.2809833,9788932026084
0.14938156,0.04705358,0.2223807,0.305365,0.27581918,9788932028583
0.11117879,0.5292115,0.17897964,0.18008432,0.00054576085,9788932029832
0.0005181171,0.18299234,0.00049664755,0.43952975,0.37646312,9788932031064
0.42152476,0.1800375,0.00041170898,0.23843294,0.15959305,9788932039145
0.0009142541,0.0010826868,0.00087636954,0.20975901,0.7873677,9788932039510
0.001015077,0.0012020842,0.38534778,0.27085525,0.3415798,9788932040912
0.00050848967,0.00060216855,0.00048741905,0.00063442637,0.9977675,9788932040967
0.001052679,0.0012466137,0.0010090584,0.9953539,0.0013378225,9788932043340
0.0024734025,0.6345532,0.0023709105,0.3574591,0.0031433832,9788932312262
0.00080660946,0.0009552108,0.1832336,0.3694049,0.4455997,9788932322452
0.11194918,0.2493177,0.4278371,0.15227802,0.05861797,9788932921402
0.0044750995,0.6316988,0.004289662,0.0055834386,0.35395297,9788933801246
0.3388951,0.001119051,0.34422204,0.0011789979,0.3145848,9788934955108
0.29541466,0.00033597578,0.4167946,0.00035397382,0.28710073,9788934984900
0.00057209074,0.43910533,0.4704003,0.00071377936,0.08920849,9788935916689
0.28098494,0.14713109,0.35023716,0.2206219,0.0010248706,9788935916740
0.001703885,0.0020177912,0.99198705,0.002125883,0.0021654235,9788936431082
0.0008308482,0.0009839151,0.23631069,0.56991655,0.19195804,9788936433598
0.0013672067,0.0016190866,0.66743755,0.0017058201,0.32787037,9788936433642
0.23722376,0.0004228423,0.0003422653,0.27498204,0.4870291,9788936434267
0.000584074,0.00069167773,0.0005598713,0.36064982,0.6375146,9788936438401
0.2708102,0.20880407,0.0006923071,0.27015597,0.24953742,9788936474904
0.000856284,0.0010140368,0.0008208016,0.99622065,0.0010882291,9788936484118
0.00033547066,0.0003972743,0.45986268,0.12911908,0.41028547,9788936510923
0.0053388714,0.9760973,0.005117641,0.0066611394,0.0067850333,9788937209468
0.23840265,0.2900137,0.18916953,0.0009251485,0.28148898,9788937420535
0.0030080145,0.0035621799,0.3709382,0.6186688,0.0038228077,9788937439209
0.6207724,0.0017963895,0.3736108,0.001892621,0.0019278228,9788937442100
0.0016053824,0.0019011415,0.0015388592,0.0020029845,0.9929516,9788937442117
0.02383526,0.028226422,0.022847584,0.8947991,0.030291617,9788937442179
0.22111404,0.00077360845,0.77646714,0.0008150502,0.00083020976,9788937473081
0.0007220058,0.00085502065,0.601604,0.15666993,0.24014911,9788937473210
0.0012438393,0.0014729913,0.29368436,0.2595442,0.4440546,9788937481079
0.3944427,0.22843987,0.00041822207,0.37614474,0.0005544841,9788937482908
0.083753504,0.24999322,0.15066054,0.1437931,0.37179965,9788937486333
0.44326803,0.231447,0.03295568,0.102408156,0.18992116,9788937486418
0.0011901106,0.2870846,0.0011407952,0.0014848631,0.70909965,9788939205673
0.25174227,0.34910586,0.100344665,0.29858854,0.0002186729,9788939230927
0.039573267,0.24852325,0.00047920307,0.34111813,0.3703061,9788950961176
0.00070326513,0.4810788,0.00067412347,0.16153908,0.35600474,9788950983611
0.22789447,0.21821989,0.0016348477,0.0021279235,0.5501229,9788954400831
0.22787482,0.21823364,0.0016348477,0.0021279235,0.5501288,9788954402934
0.08941594,0.1877688,0.0006922889,0.0009010856,0.72122186,9788954422376
0.0004363817,0.12184681,0.23946692,0.27155185,0.366698,9788954428194
0.00033144472,0.124736056,0.33096865,0.2667039,0.27725992,9788954429948
0.26089513,0.18383619,0.0004054593,0.3734719,0.1813913,9788954438094
0.1488354,0.36807558,0.0005602867,0.48178592,0.00074283517,9788954438230
0.28593296,0.29203865,0.0005852125,0.15212293,0.26932028,9788954444781
0.0006862399,0.43267015,0.2605178,0.00085619965,0.30526963,9788954446341
0.18986854,0.24027099,0.00038756328,0.15769759,0.4117753,9788954447300
0.0013666536,0.0016184318,0.0013100227,0.34990564,0.6457993,9788954601641
0.0027105631,0.5450056,0.0025982438,0.0033818833,0.44630367,9788954602358
0.000830852,0.510163,0.00079642347,0.4871539,0.0010559084,9788954605793
0.0013663205,0.4813668,0.2608274,0.0017047146,0.25473475,9788954605830
0.0022654561,0.0026828202,0.002171581,0.0028265372,0.99005365,9788954607902
0.0044721304,0.005296029,0.004286816,0.005579734,0.9803653,9788954608695
0.045681596,0.31894842,0.21557759,0.19519778,0.22459465,9788954610131
0.11934646,0.36466807,0.0005601769,0.34643888,0.1689864,9788954618182
0.002093796,0.0024795353,0.5546086,0.0026123624,0.43820566,9788954618885
0.002092916,0.0024784931,0.0020061906,0.0026112646,0.99081117,9788954619608
0.40813023,0.0017961669,0.25380895,0.3343371,0.001927584,9788954622288
0.043584324,0.14312167,0.32074758,0.20685418,0.2856922,9788954623391
0.0044727502,0.005296763,0.5196095,0.0055805077,0.46504048,9788954637305
0.00085624994,0.4093242,0.00082076894,0.0010683157,0.5879305,9788954642453
0.23165493,0.09812762,0.1231434,0.54626256,0.00081147143,9788954644273
0.0003524348,0.40135553,0.15291215,0.16068818,0.28469172,9788954644822
0.0030086804,0.0035629685,0.0028840078,0.9867207,0.003823654,9788954651653
0.0008059563,0.00095443736,0.0007725594,0.001005566,0.99646145,9788954672153
0.0027115936,0.0032111495,0.0025992314,0.75460666,0.2368714,9788954672863
0.0010141492,0.58231306,0.0009721252,0.0012653216,0.41443536,9788954675031
0.2585242,0.22572519,0.00090630935,0.0011796554,0.51366466,9788954681230
0.00046611403,0.16325037,0.00044679936,0.18030477,0.65553194,9788955479348
0.5002946,0.18466781,0.0005722437,0.0007448344,0.31372043,9788956373973
0.0007833151,0.36572838,0.00075085636,0.0009773172,0.63176006,9788956374369
0.0053414814,0.9760856,0.0051201433,0.0066643963,0.0067883506,9788956605654
0.0004909168,0.00058135815,0.3326524,0.35824576,0.30802956,9788956608334
0.00042950653,0.32877937,0.06679772,0.44557267,0.15842076,9788956695662
0.0012427509,0.0014717025,0.0011912542,0.0015505407,0.99454373,9788957072813
0.00085690315,0.483602,0.32183298,0.0010691307,0.19263901,9788957074459
0.12086659,0.0004343759,0.21141258,0.20094527,0.46634123,9788957074633
0.0009135362,0.4649806,0.21461931,0.0011397899,0.31834674,9788957075678
0.0027132789,0.003213145,0.3702505,0.0033852714,0.6204378,9788957076125
0.00033535465,0.29225743,0.13654707,0.12588514,0.44497496,9788957078099
0.52757406,0.0014722534,0.0011917001,0.17852199,0.29124004,9788957481998
0.40382633,0.33792806,0.00079684256,0.25639233,0.0010564639,9788957482483
0.0005967732,0.22904119,0.00057204434,0.38941413,0.3803759,9788957515471
0.0033816753,0.51407176,0.4740297,0.004219209,0.004297684,9788957591840
0.0002671565,0.47245246,0.00025608615,0.16082315,0.36620116,9788957752562
0.0002150925,0.464412,0.07732384,0.00026836403,0.4577807,9788957752609
0.10235606,0.3006546,0.00028658615,0.21461345,0.38208935,9788957752708
0.001604943,0.001900621,0.0015384379,0.0020024362,0.99295354,9788958042013
0.0003768392,0.25526476,0.0842081,0.10334712,0.5568031,9788958243397
0.11395694,0.1245868,0.11219668,0.13446479,0.5147948,9788958243410
0.00024348282,0.19213249,0.3213713,0.2585172,0.22773553,9788958243892
0.98736846,0.0032090817,0.0025975578,0.0033809904,0.0034438751,9788958360827
0.19026023,0.35950255,0.030127425,0.12584148,0.29426834,9788958831099
0.046198055,0.0007068893,0.0005721842,0.4968372,0.45568562,9788959130337
0.0010531377,0.7993613,0.0010094981,0.19723769,0.0013384054,9788959136230
0.06577735,0.0006504412,0.22794423,0.22585437,0.47977364,9788959136322
0.000509018,0.00060279417,0.08760629,0.4743857,0.43689618,9788959138630
0.000509018,0.00060279417,0.087596916,0.47439685,0.43689442,9788959138883
0.09765749,0.31366083,0.17278318,0.18096444,0.23493406,9788959139781
0.25482085,0.0006504369,0.0005264894,0.34192917,0.40207306,9788959243457
0.17278863,0.20425479,0.00042502655,0.41305175,0.2094798,9788959592388
0.19994175,0.00042851962,0.00034686076,0.3223137,0.47696918,9788959593064
0.26470804,0.11880562,0.19015554,0.22446461,0.20186622,9788959756148
0.0013664272,0.0016181637,0.0013098057,0.9939691,0.001736557,9788959790685
0.0005972805,0.39739248,0.33853945,0.26271173,0.00075906835,9788959791958
0.001517727,0.0017973373,0.001454836,0.81668067,0.17854944,9788959863310
0.0014386288,0.0017036668,0.5384868,0.0017949312,0.456576,9788959868988
0.6723872,0.0024803928,0.0020077282,0.3204628,0.0026618715,9788960780583
0.0013019299,0.0015417839,0.001247981,0.3236173,0.67229104,9788960786875
0.10642444,0.00147337,0.46060973,0.42991132,0.0015811695,9788960786882
0.10024361,0.00081253675,0.25135604,0.17225628,0.47533154,9788960787186
0.000913429,0.0010817097,0.48157096,0.0011396563,0.51529425,9788960787636
0.24220367,0.36888316,0.3873764,0.0007612999,0.00077545975,9788960867994
0.0006694062,0.42938727,0.0006416676,0.5684509,0.000850731,9788960905924
0.0005839681,0.00069155236,0.00055976986,0.9974226,0.00074214995,9788960907072
0.0004433273,0.31112924,0.12248659,0.3731822,0.1927586,9788961221153
0.005337646,0.0063209985,0.0051164664,0.0066596107,0.97656524,9788961251808
0.14770138,0.0014087438,0.001140293,0.0014842093,0.8482654,9788961380607
0.43354473,0.55917615,0.0020067082,0.0026119384,0.0026605192,9788961461474
0.5089328,0.0012967038,0.0010496035,0.22520626,0.2635146,9788961842495
0.00105322,0.3172151,0.32749736,0.35289577,0.0013385101,9788962531329
0.00059662893,0.23099242,0.000571906,0.31718415,0.45065483,9788963191140
0.0003665994,0.19945575,0.13397953,0.4126898,0.25350827,9788963193267
0.002469585,0.5478651,0.0023672513,0.27139235,0.17590573,9788963272603
0.0005185171,0.3627804,0.00049703097,0.34051183,0.29569224,9788963706856
0.00035714573,0.2877777,0.37826586,0.18851374,0.14508553,9788963711638
0.00044354267,0.16270274,0.10789783,0.19649161,0.53246427,9788963712338
0.00052873895,0.14171834,0.124988206,0.15947813,0.5732866,9788963712345
0.20400281,0.34009618,0.14190541,0.15577917,0.15821642,9788964601334
0.37115884,0.17415832,0.0002897843,0.06475721,0.38963583,9788964950081
0.37115622,0.17416453,0.00028978428,0.06475472,0.38963473,9788964950104
0.1253558,0.35418862,0.0928585,0.37403113,0.053565934,9788964950449
